# TQE Heisenberg Fluctuation - WITH-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
7.545150501672241106e+00,7.642167186209197993e+00,2.535390461723290301e+00,2.149147510650408766e+00,8.166319411300025297e-03,2.243837474916979602e+00,1.752904642384314426e+00,1.326164158337090448e+00
7.585284280936455126e+00,7.638811709099854852e+00,2.532452553531097106e+00,2.152441618067245876e+00,8.150359716355687692e-03,2.248634648845476036e+00,1.751569117732035386e+00,1.325542156242691672e+00
7.625418060200669146e+00,7.636011013636891498e+00,2.529664322593971448e+00,2.155724657674572331e+00,8.137082835443275666e-03,2.252930236518080775e+00,1.749905615909088441e+00,1.324912770453722244e+00
7.665551839464883166e+00,7.633746754180743999e+00,2.527021307935410910e+00,2.158999196133104537e+00,8.126443451938702295e-03,2.256774515454571084e+00,1.747943920297156728e+00,1.324304867476473024e+00
7.705685618729097186e+00,7.631995311284462957e+00,2.524518457696021567e+00,2.162263439958814093e+00,8.118379946949173809e-03,2.260229541659951380e+00,1.745714896991792386e+00,1.323747327603325363e+00
7.745819397993311206e+00,7.630727772146911114e+00,2.522149626570505454e+00,2.165518181284750376e+00,8.112762269731029971e-03,2.263365731758717025e+00,1.743250172640858242e+00,1.323268531449465879e+00
7.785953177257525226e+00,7.629910040203071731e+00,2.519907201813229136e+00,2.168766057847025586e+00,8.109344250438660362e-03,2.266258445509880204e+00,1.740582272392554142e+00,1.322895865240157010e+00
7.826086956521739246e+00,7.629503062329638041e+00,2.517781910022184544e+00,2.172004275643946158e+00,8.107803295475118563e-03,2.268984751372669528e+00,1.737745035431956131e+00,1.322655309446009175e+00
7.866220735785953266e+00,7.629463240361670451e+00,2.515762857739041181e+00,2.175238264792294984e+00,8.107690842570460313e-03,2.271620536255725575e+00,1.734774037198385521e+00,1.322571051393721886e+00
7.906354515050167286e+00,7.629742963614591922e+00,2.513837766872427881e+00,2.178465536989559581e+00,8.108816158172205829e-03,2.274238000037515306e+00,1.731706762072462435e+00,1.322665203282134216e+00
7.946488294314381307e+00,7.630291297521288207e+00,2.511993375671123019e+00,2.181683783288365319e+00,8.111091084707849203e-03,2.276903524419086722e+00,1.728582349998016632e+00,1.322957540462048387e+00
7.986622073578595327e+00,7.630866089758070459e+00,2.510968383957707051e+00,2.183790325808316890e+00,8.113014947434037463e-03,2.278680454295932023e+00,1.726490270915484571e+00,1.323266961778099660e+00
8.026755852842809347e+00,7.631849613070289529e+00,2.509460499592842009e+00,2.186941438727150633e+00,8.116136267633590126e-03,2.281473733373609925e+00,1.723364405214307338e+00,1.323923268703965261e+00
8.066889632107024255e+00,7.632929665836508448e+00,2.507976041169358794e+00,2.190092577306032684e+00,8.119219348238271988e-03,2.284466009669552378e+00,1.720290995265622680e+00,1.324823071256995721e+00
8.107023411371237387e+00,7.634051553898091313e+00,2.506502818999628346e+00,2.193235483071150682e+00,8.121843651576164669e-03,2.287690771112712795e+00,1.717305973971438693e+00,1.325975818882252577e+00
